,date,rd_link_cd,signgu_cd,signgu_nm,adstrd_cd,adstrd_nm,dayweek_cd,agrde_cd,tmzon_cd,flpop_co
8734203,201612,25486,11290,己合备,11290640,沥釜3悼,1,0,2,24.899
8734210,201612,25486,11290,己合备,11290640,沥釜3悼,1,10,2,1.439
8734217,201612,25486,11290,己合备,11290640,沥釜3悼,1,20,2,2.953
8734224,201612,25486,11290,己合备,11290640,沥釜3悼,1,30,2,4.315
8734231,201612,25486,11290,己合备,11290640,沥釜3悼,1,40,2,6.205
8734238,201612,25486,11290,己合备,11290640,沥釜3悼,1,50,2,5.221
8734245,201612,25486,11290,己合备,11290640,沥釜3悼,1,60,2,4.766
8734252,201612,25486,11290,己合备,11290640,沥釜3悼,2,0,2,12.3575
8734266,201612,25486,11290,己合备,11290640,沥釜3悼,2,20,2,1.685
8734273,201612,25486,11290,己合备,11290640,沥釜3悼,2,30,2,2.055
8734280,201612,25486,11290,己合备,11290640,沥釜3悼,2,40,2,2.81
8734287,201612,25486,11290,己合备,11290640,沥釜3悼,2,50,2,3.3725
8734294,201612,25486,11290,己合备,11290640,沥釜3悼,2,60,2,2.435
8735575,201612,25499,11290,己合备,11290640,沥釜3悼,1,0,2,22.251
8735582,201612,25499,11290,己合备,11290640,沥釜3悼,1,10,2,1.259
8735589,201612,25499,11290,己合备,11290640,沥釜3悼,1,20,2,2.583
8735596,201612,25499,11290,己合备,11290640,沥釜3悼,1,30,2,3.8405
8735603,201612,25499,11290,己合备,11290640,沥釜3悼,1,40,2,5.4965
8735610,201612,25499,11290,己合备,11290640,沥釜3悼,1,50,2,4.901
8735617,201612,25499,11290,己合备,11290640,沥釜3悼,1,60,2,4.171
8735624,201612,25499,11290,己合备,11290640,沥釜3悼,2,0,2,10.815
8735638,201612,25499,11290,己合备,11290640,沥釜3悼,2,20,2,1.475
8735645,201612,25499,11290,己合备,11290640,沥釜3悼,2,30,2,1.8
8735652,201612,25499,11290,己合备,11290640,沥釜3悼,2,40,2,2.45875
8735659,201612,25499,11290,己合备,11290640,沥釜3悼,2,50,2,2.95125
8735666,201612,25499,11290,己合备,11290640,沥釜3悼,2,60,2,2.13
8736555,201612,25507,11290,己合备,11290640,沥釜3悼,1,0,2,0.06316666
8736569,201612,25507,11290,己合备,11290640,沥釜3悼,1,20,2,0.06316666
8736653,201612,25508,11290,己合备,11290640,沥釜3悼,1,0,2,0.064
8736667,201612,25508,11290,己合备,11290640,沥釜3悼,1,20,2,0.064
8739495,201612,25537,11290,己合备,11290640,沥釜3悼,1,0,2,11.25725
8739509,201612,25537,11290,己合备,11290640,沥釜3悼,1,20,2,1.4975
8739516,201612,25537,11290,己合备,11290640,沥釜3悼,1,30,2,2.395
8739523,201612,25537,11290,己合备,11290640,沥釜3悼,1,40,2,3.113
8739530,201612,25537,11290,己合备,11290640,沥釜3悼,1,50,2,2.57425
8739537,201612,25537,11290,己合备,11290640,沥釜3悼,1,60,2,1.6775
8739544,201612,25537,11290,己合备,11290640,沥釜3悼,2,0,2,3.993125
8739565,201612,25537,11290,己合备,11290640,沥釜3悼,2,30,2,0.738125
8739572,201612,25537,11290,己合备,11290640,沥釜3悼,2,40,2,1.33125
