구간번호,관리청,도로분류,대표지역,도로(노선)명,총길이(km),기점 위도(WGS84(4326)),기점 경도(WGS84(4326)),종점 위도(WGS84(4326)),종점 경도(WGS84(4326)),정북기준 도로방향 각도(x1),정북기준 도로방향 각도(y1),정북기준 도로방향 각도(기점 기준십진수 방위각)
47130-6,경상북도(경주시),시도,경상북도 경주시,리도 203호선,1,35.86081563,129.2712608,35.86719474,129.2725426,-0.001281827,-0.006379112,258.6382232
47770-19,경상북도(영덕군),군도,경상북도 영덕군,14호선,1,36.60695367,129.2716995,36.60855512,129.2709104,0.000789084,-0.001601444,296.2309632
47770-27,경상북도(영덕군),국지도,경상북도 영덕군,국지도69호선,7.5,36.50371506,129.2755585,36.50749144,129.2745963,0.00096227,-0.003776379,284.2954787
47760-10,경상북도(영양군),군도,경상북도 영양군,군도23호선,1.26,36.76503012,129.275703,36.78734018,129.2752361,0.00046686,-0.022310066,271.1987957
60500-58,국토관리청(부산청),일반국도,울산광역시 울주군,14호선,5,35.418106,129.277553,35.380924,129.256924,0.020629,0.037182,60.9779843
47930-2,경상북도(울진군),지방도,경상북도 울진군,지방도917,1.5,37.05940582,129.2942406,37.0722461,129.2893724,0.004868206,-0.012840276,290.7635013
60200-22,국토관리청(원주청),일반국도,강원특별자치도 삼척시,7호선,6,37.288742,129.296876,37.247117,129.336528,-0.039652,0.041625,133.6094175
47130-19,경상북도(경주시),구국도,경상북도 경주시,4호선,7,35.83149803,129.3004068,35.80024032,129.3761961,-0.075789286,0.031257704,157.5873257
31000-1,울산광역시(본청),일반국도,울산광역시 남구,31호선,0.46,35.49911152,129.3023304,35.49695919,129.3071802,-0.004849756,0.002152331,156.0682578
47770-17,경상북도(영덕군),군도,경상북도 영덕군,18호선,3,36.34314893,129.3100253,36.34256212,129.3111312,-0.001105863,0.00058681,152.048003
31140-2,울산광역시(남구),시도,울산광역시 남구,감나무진사거리,0.15,35.51817714,129.310249,35.51782003,129.3086158,0.001633265,0.000357106,12.33337905
47770-7,경상북도(영덕군),위임국도,경상북도 영덕군,34호선,3,36.43017298,129.3105918,36.43036698,129.3123485,-0.001756679,-0.000194,186.3019735
47770-12,경상북도(영덕군),지방도,경상북도 영덕군,918호선,2,36.56686806,129.3151451,36.56798894,129.315183,-3.78994E-05,-0.001120881,268.063444
31110-2,울산광역시(중구),시도,울산광역시 중구,성안로,1.2,35.56201673,129.3192912,35.57189693,129.3147588,0.004532381,-0.009880203,294.6425134
47130-4,경상북도(경주시),시도,경상북도 경주시,국도4호선,0.4,35.78693642,129.3243823,35.78554994,129.3175913,0.006790926,0.001386484,11.53932244
47770-18,경상북도(영덕군),지방도,경상북도 영덕군,914호선,5,36.38416048,129.3274353,36.38261234,129.3293959,-0.001960655,0.001548148,141.7051177
47130-1,경상북도(경주시),시도,경상북도 경주시, 시도 42호선 불국로,2.9,35.78502012,129.3301431,35.78120464,129.3474355,-0.01729235,0.003815478,167.5573124
60500-29,국토관리청(부산청),일반국도,경상북도 포항시,28호선,1,36.07402,129.33217,36.082341,129.335573,-0.003403,-0.008321,247.7571433
47930-1,경상북도(울진군),군도,경상북도 울진군,군도9호선,1,36.79622495,129.3385581,36.76471867,129.340638,-0.002079912,0.031506279,93.77694672
47770-20,경상북도(영덕군),국지도,경상북도 영덕군,69호선,3,36.56779621,129.3414869,36.56693749,129.3411023,0.000384586,0.000858723,65.87439164
60200-23,국토관리청(원주청),일반국도,강원특별자치도 삼척시,7호선,2,37.164516,129.342448,37.151483,129.356962,-0.014514,0.013033,138.0774108
47770-28,경상북도(영덕군),농어촌도로,경상북도 영덕군,농어촌도로(면도)102호선,9.1,36.49802743,129.3446493,36.49942383,129.3120626,0.032586697,-0.001396397,357.546276
47130-2,경상북도(경주시),시도,경상북도 경주시, 시도 42호선 불국로,1.8,35.78127059,129.3476975,35.77328785,129.353862,-0.006164444,0.007982736,127.6761045
47130-3,경상북도(경주시),시도,경상북도 경주시, 시도 42호선 불국로,2.9,35.77326093,129.3538744,35.78930267,129.3506956,0.003178797,-0.016041734,281.2084153
47930-1,경상북도(울진군),군도,경상북도 울진군,군도,1.5,37.00546792,129.3583528,37.00438579,129.3448702,0.013482549,0.001082126,4.588794457
31200-4,울산광역시(북구),지방도,울산광역시 북구,구도2호선,2,35.652046,129.359155,35.65979675,129.3666469,-0.007491925,-0.007750746,225.9727902
47930-10,경상북도(울진군),군도,경상북도 울진군,군도6,2,37.13223993,129.3622761,37.14377682,129.3504497,0.011826346,-0.01153689,315.7098233
31200-5,울산광역시(북구),지방도,울산광역시 북구,구도2호선,2,35.65919709,129.3662436,35.66672596,129.3751569,-0.008913317,-0.007528868,220.1869873
47930-8,경상북도(울진군),군도,경상북도 울진군,군도20,400,37.09348631,129.3713614,37.08936183,129.3730857,-0.001724298,0.00412448,112.6880629
47930-9,경상북도(울진군),군도,경상북도 울진군,군도20,332,37.0880948,129.3723939,37.08615162,129.3720865,0.000307393,0.001943174,81.01079118
31200-1,울산광역시(북구),지방도,울산광역시 북구,구국도31호선,2,35.578215,129.37849,35.58031982,129.3966659,-0.018175924,-0.002104815,186.6055657
47770-22,경상북도(영덕군),군도,경상북도 영덕군,10호선,3,36.41528552,129.3798155,36.40505195,129.389696,-0.00988051,0.010233577,133.9943792
47930-5,경상북도(울진군),군도,경상북도 울진군,군도20,3,36.90769661,129.3840376,36.89138792,129.4091008,-0.025063251,0.016308687,146.9478992
47770-23,경상북도(영덕군),군도,경상북도 영덕군,5호선,3,36.45483908,129.3860611,36.4515341,129.3851563,0.000904879,0.003304981,74.68808942
47770-10,경상북도(영덕군),농어촌도로,경상북도 영덕군,201호선,0.28,36.37939114,129.3921779,36.38019622,129.3924305,-0.0002526,-0.000805085,252.5804397
70100-160,한국도로공사(한국도로공사),고속국도,경상북도 포항시,65호선,1,35.8797762,129.3923462,35.88843665,129.389689,0.002657248,-0.008660443,287.0573684
47930-3,경상북도(울진군),군도,경상북도 울진군,군도20,0.8,36.95476,129.39283,36.9505,129.39177,0.00106,0.00426,76.02706676
31200-2,울산광역시(북구),지방도,울산광역시 북구,구국도31호선,2,35.58033931,129.3965172,35.59135369,129.4265056,-0.029988406,-0.011014382,200.1676781
47130-13,경상북도(경주시),군도,경상북도 경주시,군도15호선(동남로),2.5,35.66855065,129.3996802,35.67119916,129.380487,0.019193155,-0.002648514,352.1432227
47110-5,경상북도(포항시),위임국도,경상북도 포항시,14호선,2,35.90317123,129.402945,35.88898052,129.4011719,0.001773109,0.01419071,82.87788323
47770-13,경상북도(영덕군),군도,경상북도 영덕군,25호선,2,36.52277955,129.4031301,36.52435456,129.4029522,0.000177844,-0.001575006,276.4423445
47770-21,경상북도(영덕군),군도,경상북도 영덕군,17호선,2,36.64946547,129.4038459,36.65266619,129.4023273,0.00151861,-0.003200725,295.3823888
47770-14,경상북도(영덕군),군도,경상북도 영덕군,25호선,3,36.47188418,129.4041262,36.45066164,129.4005458,0.003580378,0.021222545,80.42400974
47770-25,경상북도(영덕군),농어촌도로,경상북도 영덕군,농어촌도로(면도)103,6.5,36.4268382,129.4043862,36.42845121,129.4340328,-0.029646639,-0.001613005,183.1142612
31200-3,울산광역시(북구),지방도,울산광역시 북구,구국도31호선,2,35.586684,129.408907,35.59131169,129.4265323,-0.017625329,-0.004627694,194.7114826
47770-16,경상북도(영덕군),군도,경상북도 영덕군,25호선,2,36.49891752,129.4106222,36.49551994,129.4113229,-0.000700644,0.003397577,101.6521156
60500-23,국토관리청(부산청),일반국도,경상북도 울진군,7호선,1,37.010365,129.413179,37.001497,129.412494,0.000685,0.008868,85.58301438
47130-8,경상북도(경주시),농어촌도로,경상북도 경주시,리도 301호선(서왕길),2.9,35.67468412,129.4146965,35.68886239,129.398815,0.015881462,-0.014178268,318.2429304
31170-2,울산광역시(동구),시도,울산광역시 동구,방어진순환도로,2.2,35.53804025,129.4195429,35.52471871,129.4000688,0.019474121,0.013321532,34.37460085
47130-12,경상북도(경주시),군도,경상북도 경주시,군도15호선(동남로),2.9,35.67030097,129.4229941,35.66856237,129.3997053,0.023288803,0.0017386,4.269433856
47930-6,경상북도(울진군),군도,경상북도 울진군,군도6,1.5,36.69889373,129.4243389,36.70118078,129.408721,0.015617975,-0.002287048,351.6689944
70100-159,한국도로공사(한국도로공사),고속국도,경상북도 경주시,65호선,1,35.79597407,129.4270765,35.80466309,129.4243251,0.002751351,-0.008689023,287.5702223
31170-1,울산광역시(동구),구도,울산광역시 동구,동해안로,2.5,35.54587675,129.4309743,35.553126,129.4529201,-0.021945745,-0.007249256,198.2797473
47770-24,경상북도(영덕군),군도,경상북도 영덕군,7호선,3,36.51650887,129.4442961,36.51725005,129.4443696,-7.3509E-05,-0.000741176,264.3359932
47000-61,경상북도(본청),지방도,경상북도 포항시,929호선,2,35.95136367,129.4454651,35.95941427,129.4286583,0.016806894,-0.008050598,334.405314
47110-4,경상북도(포항시),지방도,경상북도 포항시,지방도929,2,35.99507672,129.4580238,36.00635481,129.4691971,-0.011173336,-0.011278088,225.2673255
60500-34,국토관리청(부산청),일반국도,경상북도 포항시,31호선,1,35.988323,129.466578,35.986629,129.477411,-0.010833,0.001694,171.1124033
47110-3,경상북도(포항시),지방도,경상북도 포항시,지방도929호선,1,35.91561907,129.4881745,35.90722469,129.4858637,0.002310824,0.008394385,74.60872003
47000-60,경상북도(본청),지방도,경상북도 포항시,929호선,1.3,36.04643851,129.524709,36.05279249,129.5288889,-0.004179919,-0.006353975,236.6613549
47000-1,경상북도(본청),지방도,경상북도 포항시,929호선,1.1,36.04954771,129.5290801,36.05624119,129.5315987,-0.002518636,-0.00669348,249.3795863
47110-1,경상북도(포항시),지방도,경상북도 포항시,929호선,0.6,35.99020484,129.5637368,35.99580402,129.5651137,-0.001376912,-0.005599177,256.1843507
47940-3,경상북도(울릉군),국지도,경상북도 울릉군,90호선(울릉도 일주도로),0.7,37.51257692,130.8089365,37.515147,130.810469,-0.001532525,-0.002570083,239.1926299
47940-13,경상북도(울릉군),군도,경상북도 울릉군,6호선(구암~지통골),0.9,37.477437,130.809293,37.487517,130.823511,-0.014218,-0.01008,215.3351336
47940-4,경상북도(울릉군),국지도,경상북도 울릉군,90호선(울릉도 일주도로),0.5,37.495141,130.809387,37.50897439,130.8117742,-0.002387168,-0.013833395,260.2091474
47940-5,경상북도(울릉군),국지도,경상북도 울릉군,90호선(울릉도 일주도로),1.7,37.52327561,130.8148968,37.5249,130.820372,-0.005475229,-0.00162439,196.5245647
47940-12,경상북도(울릉군),군도,경상북도 울릉군,5호선(남서교~나발등),1.3,37.46654264,130.8369831,37.48861046,130.8359515,0.001031589,-0.022067825,272.6764159
47940-15,경상북도(울릉군),농어촌도로,경상북도 울릉군,201호선(평리~살강터),1.1,37.534016,130.842231,37.52207837,130.8427245,-0.000493544,0.011937627,92.36746376
47940-10,경상북도(울릉군),군도,경상북도 울릉군,4호선(남양교~통구미),0.8,37.46192,130.85402,37.46598622,130.8383142,0.015705783,-0.004066215,345.4848752
47940-17,경상북도(울릉군),농어촌도로,경상북도 울릉군,205호선(통구미~간령),0.8,37.461962,130.856386,37.46761,130.861581,-0.005195,-0.005648,227.3923179
47940-11,경상북도(울릉군),군도,경상북도 울릉군,4호선(남양교~통구미),1.6,37.460657,130.857629,37.465954,130.863932,-0.006303,-0.005297,220.0434742
47940-14,경상북도(울릉군),농어촌도로,경상북도 울릉군,102호선(천부리),1.6,37.540492,130.875477,37.538097,130.879793,-0.004316,0.002395,150.9735821
47940-18,경상북도(울릉군),농어촌도로,경상북도 울릉군,205호선(간령~감을계),0.4,37.463206,130.8767,37.461079,130.874156,0.002544,0.002127,39.89848667
47940-19,경상북도(울릉군),농어촌도로,경상북도 울릉군,303호선(죽암~웃대바위),0.75,37.540503,130.890366,37.54166,130.893649,-0.003283,-0.001157,199.4135568
47940-8,경상북도(울릉군),군도,경상북도 울릉군,2호선(저동~봉래폭포),1.8,37.4969,130.892251,37.494344,130.907278,-0.015027,0.002556,170.3467296
47940-1,경상북도(울릉군),국지도,경상북도 울릉군,90호선(울릉도 일주도로),0.8,37.477506,130.893286,37.475673,130.893905,-0.000619,0.001833,108.6597105
47940-16,경상북도(울릉군),농어촌도로,경상북도 울릉군,204호선(석포~죽암),0.95,37.541427,130.893717,37.531558,130.902109,-0.008392,0.009869,130.3758258
